"Sygnatura czasowa","Uczelnia - skrót (drukowane litery np. AGH, PK, UEK itp.)","Płeć","Wiek","Miejsce zamieszkania","Ilość członków rodziny","Czy Twoi rodzice mieszkają razem","Wykształcenie Matki","Wykształcenie Ojca","W której z podanych branży pracuje Twoja Matka?","W której z podanych branży pracuje Twój Ojciec?","Powód wybrania uczelni","Czas dojazdu na uczelnię","Tygodniowy czas poświęcony na naukę","Łączna liczba niezdanych przedmiotów","Czy uczęszczasz na dodatkowe zajęcia edukacyjne (poza uczelnią)?","Czy ktoś z Twojej rodziny uczęszcza na dodatkowe zajęcia edukacyjne (poza uczelnią/szkołą)?","Czy należysz do organizacji uczelnianych (koła naukowe, AZS, samorząd itp.)","Czy w domu masz dostęp do internetu?","Czy jesteś w związku?","Jak oceniasz swoje relacje z rodziną ","Ile masz wolnego czasu po zajęciach?","Jak często spotykasz się ze znajomymi (poza uczelnią)?","Konsumpcja alkoholu w dzień powszedni","Konsumpcja alkoholu w weekend","Jak oceniasz swoje zdrowie?","Liczba nieuzasadnionych obecności (tak mniej więcej)","Średnia ocen (semestr)","Średnia ocen (rok)"
"2016/11/29 6:47:03 PM CET","PRZ","Mężczyzna","23","Miasto","4","Tak","2","2","Inne","Inne","ciekawy kierunek","3","4","0","Nie","Nie","Nie","Tak","Tak","3","2","2","1","2","4","0","4","4"
"2016/11/29 6:49:50 PM CET","AGH","Mężczyzna","24","Miasto","5","Tak","2","2","Inne","Inne","ciekawy kierunek","1","3","0","Nie","Nie","Tak","Tak","Tak","5","3","4","3","4","2","0","4.53","4.73"
"2016/11/29 6:50:34 PM CET","PK","Mężczyzna","24","Miasto","5","Tak","4","4","Szkolnictwo","Służba cywilna (Administracja, Policja itp.)","inne","1","1","2","Nie","Tak","Nie","Tak","Nie","4","2","2","1","1","3","0","4.9","4.8"
"2016/11/29 6:53:01 PM CET","AGH","Mężczyzna","22","Miasto","3","Nie","2","4","Inne","Inne","reputacja uczelni","1","4","0","Nie","Nie","Nie","Nie","Nie","3","5","5","5","5","4","0","4.3","4.3"
"2016/11/29 6:53:33 PM CET","PK","Kobieta","23","Miasto","7","Tak","1","4","Inne","Szkolnictwo","inne","1","2","0","Nie","Nie","Nie","Tak","Nie","4","2","3","2","2","4","5","4.4","4.4"
"2016/11/29 6:53:48 PM CET","AGH","Kobieta","21","Miasto","4","Tak","4","4","Służba cywilna (Administracja, Policja itp.)","Inne","inne","1","3","0","Tak","Tak","Nie","Tak","Nie","5","4","5","3","4","4","0","4.3","4.2"
"2016/11/29 6:55:22 PM CET","AGH","Kobieta","19","Wieś","4","Tak","4","4","Inne","Inne","ciekawy kierunek","1","3","0","Nie","Tak","Nie","Tak","Tak","4","1","5","2","5","4","0","4.0","3.9"
"2016/11/29 6:56:54 PM CET","AGH","Mężczyzna","21","Miasto","4","Tak","4","2","Służba zdrowia","Inne","reputacja uczelni","1","2","0","Nie","Tak","Nie","Tak","Nie","5","3","3","2","1","4","0","3.81","4.06"
"2016/11/29 6:57:01 PM CET","AGH","Mężczyzna","19","Miasto","4","Tak","4","2","Służba cywilna (Administracja, Policja itp.)","Służba cywilna (Administracja, Policja itp.)","reputacja uczelni","1","3","0","Nie","Tak","Nie","Tak","Tak","4","3","2","3","3","4","2","","4"
"2016/11/29 6:58:32 PM CET","AGH","Mężczyzna","19","Miasto","6","Tak","2","4","Inne","Inne","ciekawy kierunek","2","3","0","Nie","Nie","Nie","Tak","Nie","4","4","3","2","3","4","0","","4.5"
